commodity,date,price
ABOHAR(PB),2005-01-01,446
ABOHAR(PB),2006-01-01,563
ABOHAR(PB),2010-01-01,1460
ABOHAR(PB),2011-01-01,3433
ABOHAR(PB),2012-01-01,605
ABOHAR(PB),2013-01-01,1605
ABOHAR(PB),2014-01-01,1256
ABOHAR(PB),2015-01-01,1613
ABOHAR(PB),2005-02-01,324
ABOHAR(PB),2006-02-01,380
ABOHAR(PB),2010-02-01,1322
ABOHAR(PB),2011-02-01,1125
ABOHAR(PB),2012-02-01,570
ABOHAR(PB),2013-02-01,1629
ABOHAR(PB),2014-02-01,983
ABOHAR(PB),2015-02-01,1688
ABOHAR(PB),2005-03-01,322
ABOHAR(PB),2006-03-01,391
ABOHAR(PB),2010-03-01,688
ABOHAR(PB),2011-03-01,855
ABOHAR(PB),2012-03-01,608
ABOHAR(PB),2013-03-01,1080
ABOHAR(PB),2014-03-01,994
ABOHAR(PB),2015-03-01,1745
ABOHAR(PB),2006-04-01,366
ABOHAR(PB),2010-04-01,611
ABOHAR(PB),2011-04-01,553
ABOHAR(PB),2012-04-01,573
ABOHAR(PB),2013-04-01,1035
ABOHAR(PB),2014-04-01,772
ABOHAR(PB),2005-05-01,475
ABOHAR(PB),2006-05-01,390
ABOHAR(PB),2010-05-01,494
ABOHAR(PB),2011-05-01,444
ABOHAR(PB),2012-05-01,500
ABOHAR(PB),2013-05-01,814
ABOHAR(PB),2014-05-01,953
ABOHAR(PB),2015-05-01,1310
ABOHAR(PB),2005-06-01,318
ABOHAR(PB),2006-06-01,300
ABOHAR(PB),2007-06-01,700
ABOHAR(PB),2010-06-01,460
ABOHAR(PB),2011-06-01,469
ABOHAR(PB),2012-06-01,557
ABOHAR(PB),2013-06-01,1110
ABOHAR(PB),2014-06-01,942
ABOHAR(PB),2015-06-01,1457
ABOHAR(PB),2005-07-01,348
ABOHAR(PB),2007-07-01,800
ABOHAR(PB),2010-07-01,617
ABOHAR(PB),2011-07-01,780
ABOHAR(PB),2012-07-01,693
ABOHAR(PB),2013-07-01,2187
ABOHAR(PB),2014-07-01,1883
ABOHAR(PB),2015-07-01,1517
ABOHAR(PB),2005-08-01,499
ABOHAR(PB),2007-08-01,1500
ABOHAR(PB),2010-08-01,877
ABOHAR(PB),2011-08-01,1050
ABOHAR(PB),2012-08-01,786
ABOHAR(PB),2013-08-01,3718
ABOHAR(PB),2014-08-01,1923
ABOHAR(PB),2005-09-01,963
ABOHAR(PB),2006-09-01,417
ABOHAR(PB),2010-09-01,1318
ABOHAR(PB),2011-09-01,1225
ABOHAR(PB),2012-09-01,775
ABOHAR(PB),2013-09-01,4800
ABOHAR(PB),2014-09-01,1884
ABOHAR(PB),2005-10-01,1217
ABOHAR(PB),2009-10-01,1664
ABOHAR(PB),2010-10-01,1504
ABOHAR(PB),2011-10-01,1119
ABOHAR(PB),2012-10-01,925
ABOHAR(PB),2013-10-01,4429
ABOHAR(PB),2014-10-01,1914
ABOHAR(PB),2005-11-01,700
ABOHAR(PB),2009-11-01,1497
ABOHAR(PB),2010-11-01,1633
ABOHAR(PB),2011-11-01,992
ABOHAR(PB),2012-11-01,1150
ABOHAR(PB),2013-11-01,2867
ABOHAR(PB),2014-11-01,1781
ABOHAR(PB),2005-12-01,602
ABOHAR(PB),2009-12-01,1450
ABOHAR(PB),2010-12-01,3028
ABOHAR(PB),2011-12-01,600
ABOHAR(PB),2012-12-01,1270
ABOHAR(PB),2013-12-01,1938
ABOHAR(PB),2014-12-01,1659
AGRA(UP),2005-01-01,377
AGRA(UP),2006-01-01,549
AGRA(UP),2007-01-01,801
AGRA(UP),2008-01-01,522
AGRA(UP),2009-01-01,1259
AGRA(UP),2010-01-01,1308
AGRA(UP),2011-01-01,3005
AGRA(UP),2012-01-01,715
AGRA(UP),2013-01-01,1292
AGRA(UP),2014-01-01,1200
AGRA(UP),2015-01-01,1693
AGRA(UP),2016-01-01,1349
AGRA(UP),2005-02-01,345
AGRA(UP),2006-02-01,412
AGRA(UP),2007-02-01,1051
AGRA(UP),2008-02-01,354
AGRA(UP),2009-02-01,1043
AGRA(UP),2010-02-01,1256
AGRA(UP),2011-02-01,1371
AGRA(UP),2012-02-01,653
AGRA(UP),2013-02-01,1746
AGRA(UP),2014-02-01,1177
AGRA(UP),2015-02-01,1583
AGRA(UP),2016-02-01,1156
AGRA(UP),2006-03-01,376
AGRA(UP),2007-03-01,1042
AGRA(UP),2008-03-01,423
AGRA(UP),2009-03-01,1096
AGRA(UP),2010-03-01,1205
AGRA(UP),2011-03-01,877
AGRA(UP),2012-03-01,658
AGRA(UP),2013-03-01,1305
AGRA(UP),2014-03-01,1146
AGRA(UP),2015-03-01,1750
AGRA(UP),2005-04-01,360
AGRA(UP),2006-04-01,361
AGRA(UP),2007-04-01,566
AGRA(UP),2008-04-01,418
AGRA(UP),2009-04-01,747
AGRA(UP),2010-04-01,779
AGRA(UP),2011-04-01,673
AGRA(UP),2012-04-01,650
AGRA(UP),2013-04-01,1176
AGRA(UP),2014-04-01,1147
AGRA(UP),2015-04-01,1506
