commodity,signal,confidence,timestamp
abohar(pb),price falling,0.27,2005-02-01
abohar(pb),demand rising,0.48,2005-05-01
abohar(pb),price falling,0.33,2005-06-01
abohar(pb),demand rising,0.09,2005-07-01
abohar(pb),demand rising,0.43,2005-08-01
abohar(pb),demand rising,0.93,2005-09-01
abohar(pb),demand rising,0.26,2005-10-01
abohar(pb),price falling,0.42,2005-11-01
abohar(pb),price falling,0.14,2005-12-01
abohar(pb),price falling,0.06,2006-01-01
abohar(pb),price falling,0.33,2006-02-01
abohar(pb),high volatility,0.03,2006-03-01
abohar(pb),price falling,0.06,2006-04-01
abohar(pb),demand rising,0.07,2006-05-01
abohar(pb),price falling,0.23,2006-06-01
abohar(pb),demand rising,0.39,2006-09-01
abohar(pb),demand rising,0.68,2007-06-01
abohar(pb),demand rising,0.14,2007-07-01
abohar(pb),demand rising,0.88,2007-08-01
abohar(pb),demand rising,0.11,2009-10-01
abohar(pb),price falling,0.1,2009-11-01
abohar(pb),high volatility,0.03,2009-12-01
abohar(pb),high volatility,0.01,2010-01-01
abohar(pb),price falling,0.09,2010-02-01
abohar(pb),price falling,0.48,2010-03-01
abohar(pb),price falling,0.11,2010-04-01
abohar(pb),price falling,0.19,2010-05-01
abohar(pb),price falling,0.07,2010-06-01
abohar(pb),demand rising,0.34,2010-07-01
abohar(pb),demand rising,0.42,2010-08-01
abohar(pb),demand rising,0.5,2010-09-01
abohar(pb),demand rising,0.14,2010-10-01
abohar(pb),demand rising,0.09,2010-11-01
abohar(pb),demand rising,0.85,2010-12-01
abohar(pb),demand rising,0.13,2011-01-01
abohar(pb),price falling,0.67,2011-02-01
abohar(pb),price falling,0.24,2011-03-01
abohar(pb),price falling,0.35,2011-04-01
abohar(pb),price falling,0.2,2011-05-01
abohar(pb),demand rising,0.06,2011-06-01
abohar(pb),demand rising,0.66,2011-07-01
abohar(pb),demand rising,0.35,2011-08-01
abohar(pb),demand rising,0.17,2011-09-01
abohar(pb),price falling,0.09,2011-10-01
abohar(pb),price falling,0.11,2011-11-01
abohar(pb),price falling,0.4,2011-12-01
abohar(pb),high volatility,0.01,2012-01-01
abohar(pb),price falling,0.06,2012-02-01
abohar(pb),demand rising,0.07,2012-03-01
abohar(pb),price falling,0.06,2012-04-01
abohar(pb),price falling,0.13,2012-05-01
abohar(pb),demand rising,0.11,2012-06-01
abohar(pb),demand rising,0.24,2012-07-01
abohar(pb),demand rising,0.13,2012-08-01
abohar(pb),high volatility,0.01,2012-09-01
abohar(pb),demand rising,0.19,2012-10-01
abohar(pb),demand rising,0.24,2012-11-01
abohar(pb),demand rising,0.1,2012-12-01
abohar(pb),demand rising,0.26,2013-01-01
abohar(pb),high volatility,0.01,2013-02-01
abohar(pb),price falling,0.34,2013-03-01
abohar(pb),high volatility,0.04,2013-04-01
abohar(pb),price falling,0.21,2013-05-01
abohar(pb),demand rising,0.36,2013-06-01
abohar(pb),demand rising,0.97,2013-07-01
abohar(pb),demand rising,0.7,2013-08-01
abohar(pb),demand rising,0.29,2013-09-01
abohar(pb),price falling,0.08,2013-10-01
abohar(pb),price falling,0.35,2013-11-01
abohar(pb),price falling,0.32,2013-12-01
abohar(pb),price falling,0.35,2014-01-01
abohar(pb),price falling,0.22,2014-02-01
abohar(pb),high volatility,0.01,2014-03-01
abohar(pb),price falling,0.22,2014-04-01
abohar(pb),demand rising,0.23,2014-05-01
abohar(pb),high volatility,0.01,2014-06-01
abohar(pb),demand rising,1.0,2014-07-01
abohar(pb),high volatility,0.02,2014-08-01
abohar(pb),high volatility,0.02,2014-09-01
abohar(pb),high volatility,0.02,2014-10-01
abohar(pb),price falling,0.07,2014-11-01
abohar(pb),price falling,0.07,2014-12-01
abohar(pb),high volatility,0.03,2015-01-01
abohar(pb),high volatility,0.05,2015-02-01
abohar(pb),high volatility,0.03,2015-03-01
abohar(pb),price falling,0.25,2015-05-01
abohar(pb),demand rising,0.11,2015-06-01
abohar(pb),high volatility,0.04,2015-07-01
agra(up),price falling,0.08,2005-02-01
agra(up),price falling,0.06,2005-05-01
agra(up),demand rising,0.43,2005-08-01
agra(up),demand rising,0.78,2005-09-01
agra(up),demand rising,0.42,2005-10-01
agra(up),price falling,0.12,2005-11-01
agra(up),price falling,0.32,2005-12-01
agra(up),price falling,0.28,2006-01-01
agra(up),price falling,0.25,2006-02-01
agra(up),price falling,0.09,2006-03-01
agra(up),high volatility,0.04,2006-04-01
agra(up),price falling,0.2,2006-05-01
agra(up),demand rising,0.14,2006-06-01
agra(up),demand rising,0.21,2006-07-01
agra(up),demand rising,0.06,2006-08-01
agra(up),demand rising,0.18,2006-09-01
agra(up),demand rising,0.08,2006-10-01
agra(up),high volatility,0.04,2006-11-01
agra(up),high volatility,0.05,2006-12-01
agra(up),demand rising,0.5,2007-01-01
agra(up),demand rising,0.31,2007-02-01
agra(up),high volatility,0.01,2007-03-01
agra(up),price falling,0.46,2007-04-01
agra(up),price falling,0.09,2007-05-01
agra(up),demand rising,0.1,2007-06-01
agra(up),demand rising,0.71,2007-07-01
agra(up),demand rising,0.18,2007-08-01
agra(up),demand rising,0.22,2007-09-01
agra(up),high volatility,0.02,2007-10-01
agra(up),price falling,0.26,2007-11-01
agra(up),price falling,0.3,2007-12-01
agra(up),price falling,0.28,2008-01-01
agra(up),price falling,0.32,2008-02-01
agra(up),demand rising,0.19,2008-03-01
agra(up),high volatility,0.01,2008-04-01
agra(up),price falling,0.22,2008-05-01
agra(up),high volatility,0.04,2008-06-01
agra(up),demand rising,0.45,2008-07-01
agra(up),demand rising,0.45,2008-08-01
agra(up),demand rising,0.17,2008-09-01
agra(up),high volatility,0.0,2008-10-01
agra(up),demand rising,0.14,2008-11-01
agra(up),demand rising,0.13,2008-12-01
agra(up),demand rising,0.16,2009-01-01
agra(up),price falling,0.17,2009-02-01
agra(up),demand rising,0.05,2009-03-01
agra(up),price falling,0.32,2009-04-01
agra(up),price falling,0.09,2009-05-01
agra(up),price falling,0.1,2009-06-01
agra(up),demand rising,0.11,2009-07-01
agra(up),demand rising,0.15,2009-08-01
agra(up),demand rising,0.09,2009-09-01
agra(up),demand rising,0.49,2009-10-01
agra(up),high volatility,0.03,2009-11-01
agra(up),price falling,0.06,2009-12-01
agra(up),demand rising,0.05,2010-01-01
agra(up),high volatility,0.04,2010-02-01
agra(up),high volatility,0.04,2010-03-01
agra(up),price falling,0.35,2010-04-01
agra(up),price falling,0.15,2010-05-01
agra(up),high volatility,0.03,2010-06-01
agra(up),demand rising,0.24,2010-07-01
agra(up),demand rising,0.05,2010-08-01
agra(up),demand rising,0.36,2010-09-01
agra(up),demand rising,0.16,2010-10-01
agra(up),demand rising,0.15,2010-11-01
agra(up),demand rising,0.41,2010-12-01
agra(up),demand rising,0.32,2011-01-01
agra(up),price falling,0.54,2011-02-01
agra(up),price falling,0.36,2011-03-01
agra(up),price falling,0.23,2011-04-01
agra(up),price falling,0.09,2011-05-01
agra(up),price falling,0.09,2011-06-01
agra(up),demand rising,0.44,2011-07-01
agra(up),demand rising,0.24,2011-08-01
agra(up),demand rising,0.33,2011-09-01
agra(up),high volatility,0.04,2011-10-01
agra(up),price falling,0.25,2011-11-01
agra(up),price falling,0.24,2011-12-01
agra(up),price falling,0.09,2012-01-01
agra(up),price falling,0.09,2012-02-01
agra(up),high volatility,0.01,2012-03-01
agra(up),high volatility,0.01,2012-04-01
agra(up),price falling,0.06,2012-05-01
agra(up),high volatility,0.04,2012-06-01
agra(up),demand rising,0.23,2012-07-01
agra(up),demand rising,0.08,2012-08-01
agra(up),high volatility,0.01,2012-09-01
agra(up),demand rising,0.08,2012-10-01
agra(up),demand rising,0.31,2012-11-01
agra(up),demand rising,0.17,2012-12-01
agra(up),high volatility,0.01,2013-01-01
agra(up),demand rising,0.35,2013-02-01
agra(up),price falling,0.25,2013-03-01
agra(up),price falling,0.1,2013-04-01
agra(up),price falling,0.1,2013-05-01
agra(up),high volatility,0.01,2013-06-01
agra(up),demand rising,0.58,2013-07-01
agra(up),demand rising,1.04,2013-08-01
agra(up),demand rising,0.26,2013-09-01
agra(up),high volatility,0.01,2013-10-01
agra(up),price falling,0.15,2013-11-01
agra(up),price falling,0.48,2013-12-01
agra(up),price falling,0.36,2014-01-01
agra(up),high volatility,0.02,2014-02-01
agra(up),high volatility,0.03,2014-03-01
agra(up),high volatility,0.0,2014-04-01
agra(up),high volatility,0.01,2014-05-01
agra(up),high volatility,0.01,2014-06-01
agra(up),demand rising,0.58,2014-07-01
agra(up),high volatility,0.02,2014-08-01
agra(up),price falling,0.07,2014-09-01
agra(up),demand rising,0.06,2014-10-01
agra(up),price falling,0.06,2014-11-01
agra(up),high volatility,0.03,2014-12-01
agra(up),high volatility,0.04,2015-01-01
agra(up),price falling,0.06,2015-02-01
agra(up),demand rising,0.11,2015-03-01
agra(up),price falling,0.14,2015-04-01
agra(up),price falling,0.11,2015-05-01
agra(up),demand rising,0.21,2015-06-01
agra(up),demand rising,0.4,2015-07-01
agra(up),demand rising,0.44,2015-08-01
agra(up),demand rising,0.32,2015-09-01
agra(up),price falling,0.16,2015-10-01
agra(up),price falling,0.22,2015-11-01
agra(up),price falling,0.34,2015-12-01
agra(up),price falling,0.27,2016-01-01
agra(up),price falling,0.14,2016-02-01
ahmedabad(guj),price falling,0.15,2005-02-01
ahmedabad(guj),price falling,0.07,2005-05-01
ahmedabad(guj),demand rising,0.38,2005-07-01
ahmedabad(guj),demand rising,0.34,2005-08-01
ahmedabad(guj),demand rising,0.65,2005-09-01
ahmedabad(guj),demand rising,0.39,2005-10-01
ahmedabad(guj),price falling,0.22,2005-11-01
ahmedabad(guj),price falling,0.31,2005-12-01
ahmedabad(guj),price falling,0.42,2006-01-01
ahmedabad(guj),price falling,0.34,2006-02-01
ahmedabad(guj),high volatility,0.04,2006-03-01
ahmedabad(guj),high volatility,0.0,2006-04-01
ahmedabad(guj),price falling,0.12,2006-05-01
ahmedabad(guj),demand rising,0.38,2006-06-01
ahmedabad(guj),demand rising,0.09,2006-07-01
ahmedabad(guj),demand rising,0.08,2006-09-01
ahmedabad(guj),demand rising,0.48,2006-11-01
ahmedabad(guj),demand rising,0.52,2006-12-01
ahmedabad(guj),high volatility,0.05,2007-03-01
ahmedabad(guj),demand rising,0.13,2007-07-01
ahmedabad(guj),demand rising,0.06,2007-08-01
ahmedabad(guj),high volatility,0.0,2007-11-01
ahmedabad(guj),price falling,0.36,2007-12-01
ahmedabad(guj),price falling,0.28,2008-01-01
ahmedabad(guj),price falling,0.1,2008-02-01
ahmedabad(guj),demand rising,0.11,2008-03-01
ahmedabad(guj),price falling,0.18,2008-04-01
ahmedabad(guj),price falling,0.22,2008-05-01
ahmedabad(guj),demand rising,0.38,2008-06-01
ahmedabad(guj),demand rising,0.51,2008-07-01
ahmedabad(guj),demand rising,0.19,2008-08-01
ahmedabad(guj),price falling,0.08,2008-09-01
ahmedabad(guj),demand rising,0.1,2008-10-01
ahmedabad(guj),demand rising,0.41,2008-11-01
ahmedabad(guj),demand rising,0.18,2008-12-01
ahmedabad(guj),demand rising,0.12,2009-01-01
ahmedabad(guj),price falling,0.15,2009-02-01
ahmedabad(guj),price falling,0.21,2009-03-01
ahmedabad(guj),price falling,0.31,2009-04-01
ahmedabad(guj),price falling,0.12,2009-05-01
ahmedabad(guj),demand rising,0.38,2009-06-01
ahmedabad(guj),price falling,0.11,2009-07-01
